Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Ma Yuren;5005240;CGX;1932;1990;1990;1990;3;3;0;0;0;4;0;L50240;1932;1940;1999;x
Mao Bingwen;5005241;CGX;1927;1935;1990;1990;2;5;1;1;0;4;0;L50241;1927;1970;1999;x
Miao Peinan;5005242;CGX;1920;1920;1990;1990;2;3;0;0;0;4;0;L50242;1920;1970;1999;x
Mou Zhongheng;5005243;CGX;1932;1990;1990;1990;3;3;0;0;0;4;0;L50243;1932;1970;1999;x
Ou Zhen;5005244;CGX;1935;1936;1947;1990;1;4;0;1;0;3;0;L50244;1935;1969;1999;x
Ou Shounian;5005245;CGX;1931;1939;1990;1990;2;5;0;0;0;3;0;L50245;1931;1957;1999;x
Ba Yunying;5005246;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;L50246;1938;1970;1999;x
Pan Wenhua;5005247;CGX;1926;1933;1990;1990;2;4;16;1;0;3;0;L50248;1926;1950;1999;x
Pang Hanzhen;5005248;CGX;1926;1990;1990;1990;3;4;0;0;0;4;0;L50249;1926;1937;1999;x
Pang Bingxun;5005249;CGX;1935;1935;1935;1990;1;5;3;1;0;3;0;L50250;1926;1963;1999;x
Pei Changhui;5005250;CGX;1939;1990;1990;1990;3;3;0;0;0;4;0;L50251;1939;1970;1999;x
Peng Shiliang;5005251;CGX;1939;1942;1990;1990;3;4;0;1;0;4;0;L50252;1939;1943;1999;x
Shang Zhen;5005252;CGX;1937;1937;1937;1990;1;4;0;1;0;4;0;L50253;1937;1978;1999;x
Shangguan Yunxiang;5005253;CGX;1939;1941;1990;1990;2;4;0;1;0;4;0;L50254;1939;1969;1999;x
Shao Baichang;5005254;CGX;1940;1942;1990;1990;2;4;4;1;0;4;0;L50255;1940;1981;1999;x
Sheng Zhicai;5005255;CGX;1942;1942;1944;1990;1;5;2;2;0;5;0;L50256;1942;1970;1999;x
Sheng Wen;5005256;CGX;1937;1990;1990;1990;3;3;16;0;0;2;0;L50257;1937;1971;1999;x
Shi Jingting;5005257;CGX;1935;1935;1990;1990;2;4;1;0;0;3;0;L50258;1935;1969;1999;x
Shi Zude;5005258;CGX;1938;1942;1990;1990;2;4;1;1;0;4;0;L50259;1938;1972;1999;x
Shi Yousan;5005259;CGX;1935;1937;1990;1990;2;5;528;1;0;1;0;L50260;1935;1940;1999;x
Su Bingwen;5005260;CGX;1940;1942;1990;1990;2;5;8;1;0;2;0;L50261;1940;1975;1999;x
Su Zuxin;5005261;CGX;1939;1990;1990;1990;3;3;0;0;0;4;0;L50262;1939;1963;1999;x
Sun Zhen;5005262;CGX;1933;1936;1990;1990;2;4;0;1;0;2;0;L50263;1933;1985;1999;x
Sun Chu;5005263;CGX;1937;1937;1990;1990;2;3;0;0;0;4;0;L50264;1937;1962;1999;x
Sun Liren;5005264;CGX;1939;1944;1999;1999;2;6;128;1;0;4;0;L50265;1939;1990;1999;x
Sun Lianzhong;5005265;CGX;1932;1941;1943;1999;1;5;0;2;0;4;0;L50266;1932;1990;1999;x
Sun Mingjin;5005266;CGX;1938;1990;1990;1990;3;3;0;0;0;3;0;L50267;1938;1943;1999;x
Sun Du;5005267;CGX;1922;1927;1990;1990;2;3;0;0;0;4;0;L50268;1922;1967;1999;x
Sun Tongxuan;5005268;CGX;1931;1942;1990;1990;2;4;0;1;0;4;0;L50269;1931;1978;1999;x
Sun Weiru;5005269;CGX;1931;1936;1990;1990;2;4;0;1;0;4;0;L50270;1931;1979;1999;x
Sun Yuanliang;5005270;CGX;1937;1942;2010;2010;2;5;2;1;0;4;0;L50271;1937;2007;2008;x
Sung Zheyuan;5005271;CGX;1936;1936;1938;1990;1;6;0;2;0;4;0;L50272;1936;1940;1999;x
Sung Xilian;5005272;CGX;1938;1999;1999;1999;3;4;2;0;0;4;0;L50273;1938;1993;1999;x
Tai Anlan;5005273;CGX;1939;1990;1990;1990;3;3;4;0;0;4;0;L50274;1939;1970;1999;x
Tai Zhi;5005274;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;L50275;1937;1945;1999;x
Tai Li;5005275;CGX;1930;1940;1990;1990;2;5;256;1;0;4;0;L50276;1930;1970;1999;x
Tang Juwu;5005276;CGX;1931;1990;1990;1990;3;3;0;0;0;4;0;L50277;1931;1939;1999;x
Tang Enbo;5005277;CGX;1931;1941;1990;1990;2;4;2;1;0;4;0;L50278;1931;1954;1999;x
Tang Huaiyuan;5005278;CGX;1936;1939;1990;1990;2;4;0;1;0;4;0;L50279;1936;1941;1999;x
Tang Shengzhi;5005279;CGX;1926;1929;1932;1935;0;5;528;1;0;1;0;L50280;1926;1970;1999;x
Tang Shizun;5005280;CGX;1923;1935;1990;1990;2;3;0;0;0;3;0;L50281;1923;1950;1999;x
Tao Zhiyue;5005281;CGX;1942;1944;1955;1990;2;5;0;1;0;4;0;L50282;1942;1988;1999;x
Tao Guang;5005282;CGX;1937;1940;1990;1990;2;4;0;1;0;4;0;L50283;1937;1951;1999;x
Deng Xihou;5005283;CGX;1932;1932;1937;1990;1;4;0;1;0;3;0;L50284;1932;1964;1999;x
Deng Baoshan;5005284;CGX;1937;1937;1990;1990;2;4;0;1;0;4;0;L50285;1937;1968;1999;x
Deng Dingyuan;5005285;CGX;1926;1940;1990;1990;3;4;0;1;0;4;0;L50286;1926;1970;1999;x
Tian Zhennan;5005286;CGX;1927;1928;1990;1990;2;4;0;1;0;3;0;L50287;1927;1947;1999;x
Ding Zhipan;5005287;CGX;1937;1941;1990;1990;2;4;4;1;0;3;0;L50288;1937;1988;1999;x
Cai Mengjian;5005288;CGX;1941;1990;1990;1990;3;4;16;0;0;4;0;L50289;1941;1970;1999;x
Cai Tingkai;5005289;CGX;1937;1937;1990;1990;2;5;2;2;0;3;0;L50290;1937;1946;1999;x
Zeng Zesheng;5005290;CGX;1939;1944;1990;1990;2;4;2;0;0;4;0;L50291;1939;1973;1999;x
Qin Lin;5005291;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50292;1930;1937;1999;x
Qin Dechun;5005292;CGX;1932;1932;1942;1990;2;4;1;1;0;4;0;L50293;1932;1963;1999;x
Zou Shaomeng;5005293;CGX;1938;1990;1990;1990;3;3;0;0;0;3;0;L50294;1938;1970;1999;x
Zou Zuohua;5005294;CGX;1941;1943;1990;1990;2;5;4;1;0;3;0;L50295;1941;1970;1999;x
Cun Xingqi;5005296;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50297;1930;1941;1999;x
Du Yuming;5005297;CGX;1937;1944;1990;1990;2;6;4;0;0;4;0;L50298;1937;1981;1999;x
Duan Yun;5005298;CGX;1943;1945;1990;1990;3;6;4;1;0;4;0;L50299;1943;1970;1999;x
Dong Qiwu;5005299;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;L50300;1935;1989;1999;x
Tong Linge;5005300;CGX;1935;1936;1990;1990;2;5;4;1;0;4;0;L50301;1935;1937;1999;x
Dong Zongshan;5005301;CGX;1939;1990;1990;1990;3;4;1;0;0;4;0;L50302;1939;1970;1999;x
Wu Jingbin;5005302;CGX;1930;1990;1990;1990;3;3;2;1;0;4;0;L50303;1930;1941;1999;x
von Falkenhausen;5005303;CGX;1930;1930;1930;1990;1;7;70;3;0;4;0;L50304;1930;1970;1999;x
Wan Fulin;5005304;CGX;1935;1935;1935;1990;1;4;1;1;0;4;0;L50305;1935;1951;1999;x
Wan Yaohuang;5005305;CGX;1926;1935;1990;1990;2;4;0;1;0;4;0;L50307;1926;1977;1999;x
Wang Zhaozhi;5005306;CGX;1935;1990;1990;1990;3;3;0;0;0;4;0;L50308;1935;1989;1999;x
Wang Jiaben;5005307;CGX;1937;1943;1990;1990;2;4;0;1;0;4;0;L50309;1937;1944;1999;x
Wang Jianyue;5005308;CGX;1932;1990;1990;1990;3;3;0;0;0;4;0;L50310;1932;1944;1999;x
Wang Zhixi;5005309;CGX;1942;1990;1990;1990;3;4;0;0;0;4;0;L50311;1942;1970;1999;x
Wang Jingjiu;5005310;CGX;1931;1942;1990;1990;2;4;0;1;0;4;0;L50312;1931;1964;1999;x
Wang Jingzhi;5005311;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;L50313;1938;1944;1999;x
Wang Jingguo;5005312;CGX;1937;1937;1990;1990;2;3;2;0;0;3;0;L50314;1937;1952;1999;x
Wang Jingwei;5005313;U87;1930;1930;1930;1990;1;4;1;2;0;5;0;L50315;1936;1970;1999;x
Wang Jun;5005314;CGX;1937;1990;1990;1990;3;4;1;1;0;4;0;L50316;1937;1941;1999;x
Wang Chunhui;5005315;CGX;1943;1990;1990;1990;3;4;256;0;0;4;0;L50317;1943;1970;1999;x
Wang Fengshan;5005316;CGX;1935;1990;1990;1990;3;3;0;0;0;4;0;L50318;1935;1942;1999;x
Wang Yizhe;5005317;CGX;1932;1932;1990;1990;2;4;2;0;0;4;0;L50319;1932;1937;1999;x
Wang Lingji;5005318;CGX;1916;1922;1939;1990;2;4;0;2;0;3;0;L50320;1916;1967;1999;x
Wang Lingyun;5005319;CGX;1937;1942;1990;1990;3;3;0;0;0;3;0;L50321;1937;1968;1999;x
Wang Mingzhang;5005320;CGX;1916;1926;1990;1990;2;3;0;0;0;4;0;L50322;1916;1938;1999;x
Wang Zuanxu;5005321;CGX;1925;1935;1990;1990;2;3;0;0;0;3;0;L50323;1925;1960;1999;x
Wang Dongyuan;5005322;CGX;1927;1930;1999;1999;2;3;0;0;0;4;0;L50324;1927;1997;1999;x
Wang Wanling;5005323;CGX;1926;1990;1990;1990;3;3;0;0;0;4;0;L50325;1926;1946;1999;x
Wang Yaowu;5005324;CGX;1936;1939;1990;1990;2;6;6;1;0;4;0;L50326;1936;1968;1999;x
Wang Yi;5005325;CGX;1926;1990;1990;1990;3;3;1;0;0;4;0;L50327;1926;1948;1999;x
Wei Zhen;5005326;CGX;1943;1945;1990;1990;3;4;0;1;0;4;0;L50328;1943;1973;1999;x
Wei Lihuang;5005327;CGX;1927;1930;1937;1990;1;6;4;2;0;4;0;L50329;1927;1960;1999;x
Wen Qiang;5005328;CGX;1936;1942;2010;2010;2;4;256;0;0;4;0;L50330;1936;2001;2002;x
Wu Jiguang;5005329;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50331;1930;1938;1999;x
Wu Qiwei;5005330;CGX;1927;1932;1990;1990;2;4;0;1;0;4;0;L50332;1927;1953;1999;x
Wu Chuikun;5005331;CGX;1939;1942;1990;1990;3;5;0;1;0;4;0;L50333;1939;1970;1999;x
Wu Peifu;5005332;CGX;1932;1932;1932;1990;1;4;513;1;0;2;0;L50334;1932;1939;1999;x
Wu Shaozhou;5005333;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50335;1930;1966;1999;x
Wu Shimin;5005334;CGX;1935;1939;1990;1990;3;3;0;0;0;4;0;L50336;1935;1941;1999;x
Yang Aiyuan;5005335;CGX;1937;1937;1938;1990;1;6;516;1;0;3;0;L50337;1937;1959;1999;x
Yang Jie;5005336;CGX;1916;1990;1990;1990;3;3;0;0;0;4;0;L50338;1916;1937;1999;x
Yang Hu;5005337;CGX;1937;1945;1990;1990;2;4;0;0;0;4;0;L50339;1937;1966;1999;x
Yang Hucheng;5005338;CGX;1938;1939;1940;1990;1;5;0;1;0;1;0;L50340;1938;1949;1999;x
Yang Botao;5005339;CGX;1932;1990;1990;1990;3;3;4;0;0;4;0;L50341;1932;1948;1999;x
Yang Bufei;5005340;CGX;1932;1938;1990;1990;2;4;128;1;0;4;0;L50342;1932;1962;1999;x
Yang Sen;5005341;CGX;1926;1933;1938;1990;1;5;0;2;0;3;0;L50343;1926;1977;1999;x
Yang Wei;5005342;CGX;1938;1990;1990;1990;3;4;256;0;0;4;0;L50344;1938;1970;1999;x
Yao Zhongying;5005343;CGX;1925;1990;1990;1990;3;3;0;0;0;4;0;L50345;1925;1938;1999;x
Ye Cheng;5005344;CGX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50346;1930;1949;1999;x
Ye Peigao;5005345;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;L50347;1937;1987;1999;x
Yan Xishan;5005346;CGX;1937;1937;1938;1940;0;5;2;3;0;2;0;L50348;1937;1960;1999;x
Yi Anhua;5005347;CGX;1932;1990;1990;1990;3;3;0;0;0;4;0;L50349;1932;1938;1999;x
Yol Bars;5005348;CGX;1930;1990;1990;1990;3;6;16;0;0;4;0;L50350;1930;1940;1999;x
Yu Chengwan;5005349;CGX;1938;1947;1990;1990;2;3;0;0;0;4;0;L50351;1938;1955;1999;x
Yu Jishi;5005350;CGX;1937;1939;1990;1990;2;6;4;1;0;4;0;L50352;1937;1946;1999;x
Yuzhi Fenggang;5005351;CGX;1939;1941;1946;1990;2;6;16;3;0;4;0;L50353;1939;1970;1999;x
Chen Ce;5005352;CGX;1930;1930;1990;1990;2;3;2048;0;0;4;1;L50354;1930;1970;1999;x
Chen Jiliang;5005353;CGX;1938;1940;1990;1990;2;4;0;1;0;3;1;L50355;1938;1970;1999;x
Chen Shaokuan;5005354;CGX;1930;1930;1930;1930;0;3;0;1;0;3;1;L50356;1930;1970;1999;x
Ji Zhangjian;5005355;CGX;1939;1999;1999;1999;3;3;0;0;0;4;1;L50357;1939;1992;1999;x
Xu Zushan;5005356;CGX;1930;1990;1990;1990;3;3;0;0;0;4;1;L50358;1930;1941;1999;x
Gao Xianshen;5005357;CGX;1940;1990;1990;1990;3;3;0;0;0;4;1;L50359;1940;1970;1999;x
Gui Yongqing;5005358;CGX;1941;1943;1990;1990;2;4;0;1;0;4;1;L50360;1941;1954;1999;x
Liu Yonggao;5005359;CGX;1930;1938;1990;1990;2;6;1536;1;0;4;1;L50361;1930;1970;1999;x
Ouyang Ge;5005360;CGX;1940;1943;1990;1990;2;4;0;1;0;4;1;L50362;1940;1970;1999;x
Sa Shijun;5005361;CGX;1930;1990;1990;1990;3;3;0;0;0;4;1;L50363;1930;1941;1999;x
Shen Honglie;5005362;CGX;1940;1941;1943;1990;3;5;0;2;0;4;1;L50364;1940;1960;1999;x
Zeng Yiding;5005363;CGX;1943;1990;1990;1990;3;3;0;0;0;3;1;L50365;1943;1970;1999;x
Wang Shouting;5005364;CGX;1930;1990;1990;1990;3;4;4608;1;0;4;1;L50366;1930;1970;1999;x
Zhang Tingmeng;5005365;CGX;1942;1990;1990;1990;3;3;0;0;0;4;2;L50367;1942;1970;1999;x
Chen Qixia;5005366;CGX;1941;1990;1990;1990;3;3;65536;0;0;4;2;L50368;1941;1946;1999;x
Chen Qingyun;5005367;CGX;1924;1990;1990;1990;3;3;0;0;0;4;2;L50369;1924;1981;1999;x
Chennault;5005368;CGX;1930;1930;1990;1990;2;5;8192;2;0;4;2;L50370;1930;1958;1999;x
Chen Ruitian;5005369;CGX;1930;1990;1990;1990;3;3;0;0;0;4;2;L50371;1930;1943;1999;x
Zhou Zhirou;5005370;CGX;1933;1940;1990;1990;2;4;0;1;0;4;2;L50372;1933;1986;1999;x
Xu Huansheng;5005371;CGX;1938;1940;1990;1990;2;3;32768;1;0;4;2;L50373;1938;1970;1999;x
Huang Guangrui;5005372;CGX;1923;1990;1990;1990;3;3;0;0;0;4;2;L50374;1923;1986;1999;x
Huang Bingheng;5005373;CGX;1937;1944;1990;1990;3;4;0;1;0;4;2;L50375;1937;1989;1999;x
Gao Zhihang;5005374;CGX;1936;1990;1990;1990;3;5;4096;0;0;5;2;L50376;1936;1938;1999;x
Khryukin;5005375;CGX;1930;1930;1990;1990;2;5;16384;0;0;3;2;L50377;1930;1970;1999;x
Li Guidan;5005376;CGX;1930;1990;1990;1990;3;3;0;0;0;4;2;L50378;1930;1942;1999;x
Liang Tiancheng;5005377;CGX;1930;1939;1990;1990;2;4;4096;1;0;4;2;L50379;1930;1970;1999;x
Liu Guoyun;5005378;CGX;1936;1990;1990;1990;3;3;0;0;0;4;2;L50380;1936;1938;1999;x
Liu Muqun;5005379;CGX;1942;1990;1990;1990;3;4;0;0;0;4;2;L50381;1942;1970;1999;x
Liu Zhesheng;5005380;CGX;1944;1990;1990;1990;3;4;4096;0;0;4;2;L50382;1944;1970;1999;x
Liu Cuigang;5005381;CGX;1930;1990;1990;1990;3;4;4096;0;0;4;2;L50383;1930;1941;1999;x
Mao Bangchu;5005382;CGX;1936;1941;1990;1990;2;3;0;0;0;4;2;L50384;1938;1987;1999;x
Qian Dajun;5005383;CGX;1932;1938;1941;1990;1;4;0;2;0;4;2;L50385;1932;1982;1999;x
Wang Guangfu;5005384;CGX;1941;1990;1990;1990;3;4;0;0;0;4;2;L50386;1941;1970;1999;x
Wang Tianxiang;5005385;CGX;1930;1990;1990;1990;3;3;8192;0;0;4;2;L50387;1930;1941;1999;x
Yue Yiqin;5005386;CGX;1939;1941;1990;1990;3;5;131072;1;0;4;2;L50388;1939;1970;1999;x
Li Shijia;5005387;CGX;1930;1939;1990;1990;2;3;4096;1;0;5;1;L50389;1930;1979;1999;x
Pai Chung-hsi;5005388;CGX;1917;1923;1927;1990;1;8;20;4;0;3;0;L50247;1917;1930;1999;x
Li Tsung-jen;5005389;CGX;1923;1927;1990;1990;1;6;18;3;0;4;0;L50186;1923;1930;1999;x
Li Fulin;5005390;CGX;1926;1932;1990;1990;2;4;0;2;0;4;0;7757;1926;1952;1999;x
Wan Shijiong;5005391;CGX;1938;1950;1999;1999;3;3;0;0;0;4;0;7758;1938;1991;1999;x
Yang Yanchang;5005392;CGX;1917;1925;1990;1990;3;4;513;1;0;5;0;7759;1917;1950;1999;x
Wu Tiecheng;5005393;CGX;1926;1933;1990;1990;3;2;0;0;0;4;0;7760;1926;1953;1999;x
Yu Xuezhong;5005394;CGX;1937;1937;1938;1990;1;4;0;2;0;4;0;7761;1937;1964;1999;x
Li Suchun;5005395;CGX;1936;1936;1990;1990;3;2;0;0;0;4;0;7762;1936;1942;1999;x
Wang Lingyun;5005396;CGX;1930;1942;1990;1990;2;4;0;1;0;4;0;7763;1930;1968;1999;x
Yu Zhenhe;5005397;CGX;1930;1939;1990;1990;2;3;0;1;0;4;0;7764;1930;1985;1999;x
Belov;585001;CGX;1930;1990;1990;1990;3;2;256;0;0;5;0;L502000;1930;1960;1999;x
Chen Jitang;585002;CGX;1930;1930;1930;1938;0;2;513;1;0;1;0;L50031;1930;1944;1999;x
Kravelkin;585003;CGX;1930;1990;1990;1990;3;2;4;0;0;5;0;L502002;1930;1960;1999;x
Li Jishen;585004;CGX;1930;1930;1930;1990;1;3;16;1;0;5;0;L502003;1930;1960;1999;x
Li Zongren;585005;CGX;1930;1939;1941;1944;1;4;4;3;0;4;0;620;1930;1960;1999;x
Golukjin;585006;CGX;1930;1930;1990;1990;2;2;0;0;0;5;0;L502005;1930;1960;1999;x
Bai Chongxi;585007;CGX;1930;1939;1941;1990;1;4;16;2;0;3;0;L50247;1930;1960;1999;x
Shermentcheff;585008;CGX;1930;1930;1990;1990;2;2;4;0;0;4;0;L502007;1930;1960;1999;x
Tschevelkov;585009;CGX;1930;1990;1990;1990;3;2;0;0;0;5;0;L502008;1930;1960;1999;x
von Appel;585010;CGX;1930;1942;1990;1990;3;3;128;1;0;5;0;L502009;1930;1960;1999;x
Yu Hanmou;585011;CGX;1930;1939;1990;1990;2;2;0;1;0;4;0;L502010;1930;1960;1999;x
Belov;585012;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502000;1930;1960;1999;x
Dranilov;585013;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1960;1999;x
Ertelkin;585014;CGX;1930;1930;1990;1990;2;3;8192;1;0;5;1;L502013;1930;1960;1999;x
Bai Chongxi;585015;CGX;1930;1939;1941;1990;1;2;0;1;0;3;1;L50247;1930;1960;1999;x
Kulchin;585016;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1960;1999;x
Beryakin;585017;CGX;1930;1990;1990;1990;3;2;0;0;0;5;2;L502016;1930;1960;1999;x
Khripin;585018;CGX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L502017;1930;1960;1999;x
Li Zongren;585019;CGX;1930;1930;1941;1990;1;2;0;1;0;4;2;620;1930;1960;1999;x
Dranilov;585023;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502012;1930;1970;1999;x
Ertelkin;585024;CGX;1930;1930;1990;1990;2;3;8192;1;0;5;1;L502013;1930;1970;1999;x
Bai Chongxi;585025;CGX;1930;1939;1941;1990;1;2;0;1;0;3;1;L50247;1930;1970;1999;x
Kulchin;585026;CGX;1930;1990;1990;1990;3;2;0;0;0;5;1;L502015;1930;1970;1999;x
Beryakin;585027;CGX;1930;1990;1990;1990;3;2;0;0;0;5;2;L502016;1930;1970;1999;x
Khripin;585028;CGX;1930;1990;1990;1990;3;2;4096;0;0;5;2;L502017;1930;1970;1999;x
Li Zongren;585029;CGX;1930;1930;1941;1990;1;2;0;1;0;4;2;620;1930;1970;1999;x
Bu Hanchi ;585030;CGX;1922;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1922;1971;1999;x
Chen Enyuan ;585031;CGX;1933;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1933;1977;1999;x
Chen Gui ;585032;CGX;1930;1990;1990;1990;3;3;0;0;0;4;2;unknownleader;1930;1950;1999;x
Chen Hanliu ;585033;CGX;1938;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1938;1972;1999;x
Chen Liangzuo;585034;CGX;1926;1949;1990;1990;3;3;0;0;0;4;0;unknownleader;1926;1968;1999;x
Deng Yinfan;585035;CGX;1925;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1925;1955;1999;x
Feng Huang;585036;CGX;1932;1990;1990;1990;3;2;0;0;0;4;2;unknownleader;1932;1994;1999;x
Gan Chengcheng;585037;CGX;1938;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1938;1950;1999;x
Han Chao;585038;CGX;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1951;1999;x
Huang Heling;585039;CGX;1929;1939;1990;1990;2;4;0;1;0;4;0;unknownleader;1929;1972;1999;x
Huang Xuchu;585040;CGX;1922;1930;1990;1990;3;3;0;0;0;4;0;unknownleader;1922;1975;1999;x
Hu Dongchen;585041;CGX;1937;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1937;1950;1999;x
Hu Tianle;585042;CGX;1938;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1938;1951;1999;x
Jiang Ruquan;585043;CGX;1927;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1927;1951;1999;x
Liang Chaoji;585044;CGX;1926;1936;1990;1990;2;4;0;1;0;4;0;6295;1926;1969;1999;x
Li Chaofang;585045;CGX;1928;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1928;1962;1999;x
Lu Jung-ting;585046;CGX;1917;1917;1917;1990;1;2;0;1;0;5;0;unknownleader;1917;1935;1999;x
Li Jilong;585047;CGX;1944;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1944;1955;1999;x
Li Minxin;585048;CGX;1917;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1917;1955;1999;x
Liu Qingfan;585049;CGX;1927;1936;1990;1990;2;3;0;1;0;4;0;6296;1927;1982;1999;x
Liu Zhenhuan;585050;CGX;1913;1922;1990;1990;2;3;0;1;0;4;0;6297;1913;1925;1999;x
Li Zemin;585051;CGX;1936;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1936;1962;1999;x
Li Zuoli;585052;CGX;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1959;1999;x
Ma Xiaojun;585053;CGX;1918;1990;1990;1990;3;4;0;0;0;4;0;unknownleader;1918;1959;1999;x
Shi Weifu;585054;CGX;1936;1990;1990;1990;3;3;0;0;0;4;0;6298;1936;1944;1999;x
Wang Jingsong;585055;CGX;1936;1948;1990;1990;2;4;0;1;0;4;0;unknownleader;1936;1951;1999;x
Wang Wenxi;585056;CGX;1917;1990;1990;1990;3;4;0;1;0;4;0;unknownleader;1917;1961;1999;x
Wei Yunsong;585057;CGX;1927;1937;1990;1990;2;4;0;1;0;4;0;6299;1927;1953;1999;x
Wen Chaoji;585058;CGX;1932;1944;1990;1990;2;2;0;0;0;4;0;unknownleader;1932;1979;1999;x
Wu Fan;585059;CGX;1936;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1936;1959;1999;x
Yang Dingzhong;585060;CGX;1925;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1925;1954;1999;x
Yang Junchang;585061;CGX;1932;1990;1990;1990;3;3;0;0;0;2;0;unknownleader;1932;1952;1999;x
Yan Sengwu;585062;CGX;1943;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1943;1950;1999;x
Yan Zhaofeng;585063;CGX;1921;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1921;1962;1999;x
Yin Chenggang;585064;CGX;1927;1940;1990;1990;3;2;0;0;0;4;0;unknownleader;1927;1971;1999;x
Zhang Junsong;585065;CGX;1933;1939;1990;1990;3;3;0;0;0;4;0;unknownleader;1933;1948;1999;x
Bian Zhishan;585066;CGX;1936;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1936;1989;1999;x
Chen Hanguang;585067;CGX;1932;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1932;1943;1999;x
Chen Ji;585068;CGX;1937;1939;1990;1990;3;4;0;1;0;4;0;unknownleader;1937;1974;1999;x
Chen Kan;585069;CGX;1935;1943;1990;1990;3;4;0;1;0;4;0;unknownleader;1935;1949;1999;x
Chen Keqiu;585070;CGX;1936;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1936;1958;1999;x
Chen Mingshu;585071;CGX;1925;1926;1950;1990;2;4;4;2;0;4;0;6300;1925;1970;1999;x
Chen Renzhi;585072;CGX;1933;1990;1990;1990;3;3;16;1;0;4;0;unknownleader;1933;1955;1999;x
Chen Wen;585073;CGX;1936;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1936;1968;1999;x
Chen Yinglin;585074;CGX;1929;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1929;1966;1999;x
Chen Yinglong;585075;CGX;1934;1937;1990;1990;2;2;0;0;0;3;0;unknownleader;1934;1951;1999;x
Chen Zhongying;585076;CGX;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1947;1999;x
Deng E;585077;CGX;1931;1943;1990;1990;3;4;128;1;0;4;0;unknownleader;1931;1974;1999;x
Deng Shizeng;585078;CGX;1926;1937;1990;1990;3;4;16;2;0;4;0;unknownleader;1926;1954;1999;x
Feng Ciqi;585079;CGX;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1954;1999;x
Gan Lichu;585080;CGX;1930;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1930;1950;1999;x
Gan Qingchi;585081;CGX;1927;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1927;1951;1999;x
He Tong;585082;CGX;1926;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1926;1972;1999;x
Huang Musong;585083;CGX;1927;1930;1990;1990;3;3;512;1;0;4;0;unknownleader;1927;1937;1999;x
Huang Qiang;585084;CGX;1928;1932;1990;1990;3;3;0;1;0;4;0;unknownleader;1928;1974;1999;x
Huang Renhuan;585085;CGX;1923;1938;1990;1990;3;4;18;1;0;4;0;unknownleader;1923;1956;1999;x
Huang Shitu;585086;CGX;1939;1990;1990;1990;3;3;0;0;0;4;0;unknownleader;1939;1960;1999;x
Huang Zheng;585087;CGX;1938;1990;1990;1990;3;2;0;0;0;4;0;unknownleader;1938;1968;1999;x
