#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
EVT_3182056_NAME;Second New Deal;Second New Deal;Second New Deal;Second New Deal;Der 'Second New Deal';Second New Deal;Second New Deal;Second New Deal;;;x
EVT_602006_DESC;After Calles was deported, conservatives in the state of San Luis Potosi rallied behind Calles and staged a rebellion against Cardenas. The military, however, remained loyal to Cardenas and quickly brought the revolt under control.;After Calles was deported, conservatives in the state of San Luis Potosi rallied behind Calles and staged a rebellion against Cardenas. The military, however, remained loyal to Cardenas and quickly brought the revolt under control.;After Calles was deported, conservatives in the state of San Luis Potosi rallied behind Calles and staged a rebellion against Cardenas. The military, however, remained loyal to Cardenas and quickly brought the revolt under control.;After Calles was deported, conservatives in the state of San Luis Potosi rallied behind Calles and staged a rebellion against Cardenas. The military, however, remained loyal to Cardenas and quickly brought the revolt under control.;Nach der Deportierung Calles' sammelten sich seine eher konservativen Anhдnger im Staat San Luis Potosi und zettelten einen Aufstand gegen Cardenas an. Da das Militдr aber loyal zu Cardenas stand, konnte dieser den Aufstand schnell niederschlagen.;After Calles was deported, conservatives in the state of San Luis Potosi rallied behind Calles and staged a rebellion against Cardenas. The military, however, remained loyal to Cardenas and quickly brought the revolt under control.;After Calles was deported, conservatives in the state of San Luis Potosi rallied behind Calles and staged a rebellion against Cardenas. The military, however, remained loyal to Cardenas and quickly brought the revolt under control.;After Calles was deported, conservatives in the state of San Luis Potosi rallied behind Calles and staged a rebellion against Cardenas. The military, however, remained loyal to Cardenas and quickly brought the revolt under control.;;;X
ACTIONNAME602006A;Support Cardenas, crush the rebellion;Support Cardenas, crush the rebellion;Support Cardenas, crush the rebellion;Support Cardenas, crush the rebellion;Wir unterstьtzen Cardenas, Tod den Rebellen;Support Cardenas, crush the rebellion;Support Cardenas, crush the rebellion;Support Cardenas, crush the rebellion;;;X
ACTIONNAME602006B;Support Calles, viva la rebellion;Support Calles, viva la rebellion;Support Calles, viva la rebellion;Support Calles, viva la rebellion;Wir unterstьtzen Calles, es lebe die Revolution ;Support Calles, viva la rebellion;Support Calles, viva la rebellion;Support Calles, viva la rebellion;;;X
EVT_602007_NAME;The creation of the National Farmers Confederation (CNC);The creation of the National Farmers Confederation (CNC);The creation of the National Farmers Confederation (CNC);The creation of the National Farmers Confederation (CNC);Die Grьndung der Bauerngewerkschaft CNC;The creation of the National Farmers Confederation (CNC);The creation of the National Farmers Confederation (CNC);The creation of the National Farmers Confederation (CNC);;;X
EVT_602007_DESC;Following the creation of the CTM labor association, Cardenбs supported the creation of the Confederacion Nacional Campesina (National Farmers Confederation (CNC)). The CNC became a union association for the peasantry and farmers, giving them some political influence. In exchange, the state gained control over the peasantry.;Following the creation of the CTM labor association, Cardenбs supported the creation of the Confederacion Nacional Campesina (National Farmers Confederation (CNC)). The CNC became a union association for the peasantry and farmers, giving them some political influence. In exchange, the state gained control over the peasantry.;Following the creation of the CTM labor association, Cardenбs supported the creation of the Confederacion Nacional Campesina (National Farmers Confederation (CNC)). The CNC became a union association for the peasantry and farmers, giving them some political influence. In exchange, the state gained control over the peasantry.;Following the creation of the CTM labor association, Cardenбs supported the creation of the Confederacion Nacional Campesina (National Farmers Confederation (CNC)). The CNC became a union association for the peasantry and farmers, giving them some political influence. In exchange, the state gained control over the peasantry.;Nach der Grьndung der Arbeitergewerkschaft CTM unterstьtzte Cardenas im nдchsten Schritt die Grьndung der Bauerngewerkschaft CNC ( Confederacion Nacional Campesina ). Die CNC war die Gewerkschaft der Bauern und Feldarbeiter, die damit natьrlich auch einen gewissen politischen Einfluss bekamen. Auf der anderen Seite wuchs mit dem entstehen dieser Gewerkschaft die Kontrolle der Politik ьber die einfache Landbevцlkerung.;Following the creation of the CTM labor association, Cardenбs supported the creation of the Confederacion Nacional Campesina (National Farmers Confederation (CNC)). The CNC became a union association for the peasantry and farmers, giving them some political influence. In exchange, the state gained control over the peasantry.;Following the creation of the CTM labor association, Cardenбs supported the creation of the Confederacion Nacional Campesina (National Farmers Confederation (CNC)). The CNC became a union association for the peasantry and farmers, giving them some political influence. In exchange, the state gained control over the peasantry.;Following the creation of the CTM labor association, Cardenбs supported the creation of the Confederacion Nacional Campesina (National Farmers Confederation (CNC)). The CNC became a union association for the peasantry and farmers, giving them some political influence. In exchange, the state gained control over the peasantry.;;;X
ACTIONNAME602007A;We must unite the farmers;We must unite the farmers;We must unite the farmers;We must unite the farmers;Wir brauchen diese Gewerkschaft;We must unite the farmers;We must unite the farmers;We must unite the farmers;;;X
ACTIONNAME602007B;Do not allow the farmers to have political influence;Do not allow the farmers to have political influence;Do not allow the farmers to have political influence;Do not allow the farmers to have political influence;Wir verweigern den Bauern politischen Einfluss;Do not allow the farmers to have political influence;Do not allow the farmers to have political influence;Do not allow the farmers to have political influence;;;X
EVT_602008_NAME;The Mexican expropriation law;The Mexican expropriation law;The Mexican expropriation law;The Mexican expropriation law;Die mexikanischen Gesetze zur Zwangsenteignung;The Mexican expropriation law;The Mexican expropriation law;The Mexican expropriation law;;;X
EVT_602008_DESC;In November, 1936, Cardenбs imposed a new law, empowering the Mexican government to seize private property when necessary for public and social welfare. This law cleared the way for the massive land reforms of his term, as well as the nationalization of several other sectors. Foreign investors, however, regarded this law with distrust as it potentially threatened their investments.;In November, 1936, Cardenбs imposed a new law, empowering the Mexican government to seize private property when necessary for public and social welfare. This law cleared the way for the massive land reforms of his term, as well as the nationalization of several other sectors. Foreign investors, however, regarded this law with distrust as it potentially threatened their investments.;In November, 1936, Cardenбs imposed a new law, empowering the Mexican government to seize private property when necessary for public and social welfare. This law cleared the way for the massive land reforms of his term, as well as the nationalization of several other sectors. Foreign investors, however, regarded this law with distrust as it potentially threatened their investments.;In November, 1936, Cardenбs imposed a new law, empowering the Mexican government to seize private property when necessary for public and social welfare. This law cleared the way for the massive land reforms of his term, as well as the nationalization of several other sectors. Foreign investors, however, regarded this law with distrust as it potentially threatened their investments.;Im November 1936 legte Cardenas ein Gesetz vor, das der mexikanischen Regierung gestattete, privaten Besitz zugunsten des цffentlichen und sozialen Wohls zu enteignen. Dieses Gesetz bereitete den Weg fьr eine gross angelegte Landreform und die Verstaatlichung verschiedener Firmen und Betriebe in anderen Bereichen. Auslдndische Investoren beobachteten diese Entwicklung mit Misstrauen, da sie um ihre Investitionen fьrchteten.;In November, 1936, Cardenбs imposed a new law, empowering the Mexican government to seize private property when necessary for public and social welfare. This law cleared the way for the massive land reforms of his term, as well as the nationalization of several other sectors. Foreign investors, however, regarded this law with distrust as it potentially threatened their investments.;In November, 1936, Cardenбs imposed a new law, empowering the Mexican government to seize private property when necessary for public and social welfare. This law cleared the way for the massive land reforms of his term, as well as the nationalization of several other sectors. Foreign investors, however, regarded this law with distrust as it potentially threatened their investments.;In November, 1936, Cardenбs imposed a new law, empowering the Mexican government to seize private property when necessary for public and social welfare. This law cleared the way for the massive land reforms of his term, as well as the nationalization of several other sectors. Foreign investors, however, regarded this law with distrust as it potentially threatened their investments.;;;X
ACTIONNAME602008A;Reform and nationalize, impose the expropriation law;Reform and nationalize, impose the expropriation law;Reform and nationalize, impose the expropriation law;Reform and nationalize, impose the expropriation law;Wir brauchen dieses Gesetz;Reform and nationalize, impose the expropriation law;Reform and nationalize, impose the expropriation law;Reform and nationalize, impose the expropriation law;;;X
EVT_602009_NAME;Nationalization of the railways;Nationalization of the railways;Nationalization of the railways;Nationalization of the railways;Die Verstaatlichung der Eisenbahnen;Nationalization of the railways;Nationalization of the railways;Nationalization of the railways;;;X
EVT_602009_DESC;In June, 1937, Cardenas nationalized the Mexican railways and control was given to a cooperation of workers. This measure was popular with the people, yet some expertise was lost.;In June, 1937, Cardenas nationalized the Mexican railways and control was given to a cooperation of workers. This measure was popular with the people, yet some expertise was lost.;In June, 1937, Cardenas nationalized the Mexican railways and control was given to a cooperation of workers. This measure was popular with the people, yet some expertise was lost.;In June, 1937, Cardenas nationalized the Mexican railways and control was given to a cooperation of workers. This measure was popular with the people, yet some expertise was lost.;Im Juni 1937 verstaatlichte Cardenas die mexikanischen Eisenbahngesellschaften und gab die Kontrolle an einen Zusammenschluss von Arbeitern. Auch wenn diese Massnahme sehr populдr und war und beim einfachen Volk viel Anklang fand, ging die Leistungsfдhigkeit der mexikanischen Eisenbahn doch zurьck, da die neue Fьhrung der Eisenbahngesellschaften nicht so profit- und leistungsorientiert war wie die der vormaligen Besitzer. ;In June, 1937, Cardenas nationalized the Mexican railways and control was given to a cooperation of workers. This measure was popular with the people, yet some expertise was lost.;In June, 1937, Cardenas nationalized the Mexican railways and control was given to a cooperation of workers. This measure was popular with the people, yet some expertise was lost.;In June, 1937, Cardenas nationalized the Mexican railways and control was given to a cooperation of workers. This measure was popular with the people, yet some expertise was lost.;;;X
ACTIONNAME602009A;The Union is strong, give the railways to the workers;The Union is strong, give the railways to the workers;The Union is strong, give the railways to the workers;The Union is strong, give the railways to the workers;Die Verwaltung der Eisenbahn an die Gewerkschaft abgeben;The Union is strong, give the railways to the workers;The Union is strong, give the railways to the workers;The Union is strong, give the railways to the workers;;;X
ACTIONNAME602009B;Do not make changes, leave the railways alone;Do not make changes, leave the railways alone;Do not make changes, leave the railways alone;Do not make changes, leave the railways alone;Bloss keine Дnderungen, die Bahn ist bestens organisiert;Do not make changes, leave the railways alone;Do not make changes, leave the railways alone;Do not make changes, leave the railways alone;;;X
EVT_602010_NAME;Land reforms: breaking the Haciendas;Land reforms: breaking the Haciendas;Land reforms: breaking the Haciendas;Land reforms: breaking the Haciendas;Das Schicksal der Haciendas;Land reforms: breaking the Haciendas;Land reforms: breaking the Haciendas;Land reforms: breaking the Haciendas;;;X
EVT_602010_DESC;In 1937, when the cotton workers went on strike, Cardenбs reacted by nationalizing all cotton producing haciendas and turning them into ejidas: communal farms. This action had the advantages of increasing his popularity, reducing the power of the labor union in favour of the agrarian unions, and providing the impoverished peasantry with a source of income. In addition, the Ejidal Credit Bank was created to help finance the new ejidas. However, the price of nationalization was not cheap. Hacienda owners had to be compensated, significant starting capital was needed for the bank, and agricultural production dropped with these drastic changes. This event marked the start of Cardenбs land reforms in which a total of 18 million hectares (49 million acres) would be redistributed.;In 1937, when the cotton workers went on strike, Cardenбs reacted by nationalizing all cotton producing haciendas and turning them into ejidas: communal farms. This action had the advantages of increasing his popularity, reducing the power of the labor union in favour of the agrarian unions, and providing the impoverished peasantry with a source of income. In addition, the Ejidal Credit Bank was created to help finance the new ejidas. However, the price of nationalization was not cheap. Hacienda owners had to be compensated, significant starting capital was needed for the bank, and agricultural production dropped with these drastic changes. This event marked the start of Cardenбs land reforms in which a total of 18 million hectares (49 million acres) would be redistributed.;In 1937, when the cotton workers went on strike, Cardenбs reacted by nationalizing all cotton producing haciendas and turning them into ejidas: communal farms. This action had the advantages of increasing his popularity, reducing the power of the labor union in favour of the agrarian unions, and providing the impoverished peasantry with a source of income. In addition, the Ejidal Credit Bank was created to help finance the new ejidas. However, the price of nationalization was not cheap. Hacienda owners had to be compensated, significant starting capital was needed for the bank, and agricultural production dropped with these drastic changes. This event marked the start of Cardenбs land reforms in which a total of 18 million hectares (49 million acres) would be redistributed.;In 1937, when the cotton workers went on strike, Cardenбs reacted by nationalizing all cotton producing haciendas and turning them into ejidas: communal farms. This action had the advantages of increasing his popularity, reducing the power of the labor union in favour of the agrarian unions, and providing the impoverished peasantry with a source of income. In addition, the Ejidal Credit Bank was created to help finance the new ejidas. However, the price of nationalization was not cheap. Hacienda owners had to be compensated, significant starting capital was needed for the bank, and agricultural production dropped with these drastic changes. This event marked the start of Cardenбs land reforms in which a total of 18 million hectares (49 million acres) would be redistributed.;Als 1937 die Baumwollpflьcker in den Streik traten, reagierte Cardenas mit der Verstaatlichung aller baumwollproduzierenden Haciendas und wandelte sie in landwirtschaftliche Kommunen, die sogenannten ejidas, um. Diese Massnahme erhцhte nicht nur seine Popularitдt bei der Landbevцlkerung, sondern vergrцsserte auch den Einfluss der CNC und bedeutete fьr die Feldarbeiter ein geregeltes Einkommen. Um die Grьndung dieser Kommunen zu finanzieren, grьndete er eigens die Ejidal Credit Bank. Der Preis fьr diese drastischen Massnahmen war allerdings hoch. Nicht nur die enteigneten Haciendabesitzer mussten entschдdigt werden, sondern es wurde auch eine Kapitalaustattung fьr die neue Bank benцtigt und, nicht zuletzt, die Baumwollproduktion ging wдhrend der Umstellungsphase massiv zurьck. Dieser Schritt war nur der erste in Cardenas ehrgeiziger Landreform, die schlussendlich ьber 49 Millionen Hektar Land neu verteilen sollte.;In 1937, when the cotton workers went on strike, Cardenбs reacted by nationalizing all cotton producing haciendas and turning them into ejidas: communal farms. This action had the advantages of increasing his popularity, reducing the power of the labor union in favour of the agrarian unions, and providing the impoverished peasantry with a source of income. In addition, the Ejidal Credit Bank was created to help finance the new ejidas. However, the price of nationalization was not cheap. Hacienda owners had to be compensated, significant starting capital was needed for the bank, and agricultural production dropped with these drastic changes. This event marked the start of Cardenбs land reforms in which a total of 18 million hectares (49 million acres) would be redistributed.;In 1937, when the cotton workers went on strike, Cardenбs reacted by nationalizing all cotton producing haciendas and turning them into ejidas: communal farms. This action had the advantages of increasing his popularity, reducing the power of the labor union in favour of the agrarian unions, and providing the impoverished peasantry with a source of income. In addition, the Ejidal Credit Bank was created to help finance the new ejidas. However, the price of nationalization was not cheap. Hacienda owners had to be compensated, significant starting capital was needed for the bank, and agricultural production dropped with these drastic changes. This event marked the start of Cardenбs land reforms in which a total of 18 million hectares (49 million acres) would be redistributed.;In 1937, when the cotton workers went on strike, Cardenбs reacted by nationalizing all cotton producing haciendas and turning them into ejidas: communal farms. This action had the advantages of increasing his popularity, reducing the power of the labor union in favour of the agrarian unions, and providing the impoverished peasantry with a source of income. In addition, the Ejidal Credit Bank was created to help finance the new ejidas. However, the price of nationalization was not cheap. Hacienda owners had to be compensated, significant starting capital was needed for the bank, and agricultural production dropped with these drastic changes. This event marked the start of Cardenбs land reforms in which a total of 18 million hectares (49 million acres) would be redistributed.;;;X
ACTIONNAME602010A;We need land reform, redistribute the land;We need land reform, redistribute the land;We need land reform, redistribute the land;We need land reform, redistribute the land;Das Land muss neu verteilt werden;We need land reform, redistribute the land;We need land reform, redistribute the land;We need land reform, redistribute the land;;;X
ACTIONNAME602010B;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;Keine Landreform durchfьhren;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;;;X
EVT_602011_NAME;Land reforms: finishing the Haciendas;Land reforms: finishing the Haciendas;Land reforms: finishing the Haciendas;Land reforms: finishing the Haciendas;Das Schicksal der Haciendas;Land reforms: finishing the Haciendas;Land reforms: finishing the Haciendas;Land reforms: finishing the Haciendas;;;X
EVT_602011_DESC;After the first round of land reforms, two more were to follow. One of those finished of the remaining Haciendas left after the first round.;After the first round of land reforms, two more were to follow. One of those finished of the remaining Haciendas left after the first round.;After the first round of land reforms, two more were to follow. One of those finished of the remaining Haciendas left after the first round.;After the first round of land reforms, two more were to follow. One of those finished of the remaining Haciendas left after the first round.;Nach der ersten Runde der Landreform folgten noch zwei weitere, die die in der ersten Runde noch nicht berьcksichtigten Haciendas ebenfalls auflцste.;After the first round of land reforms, two more were to follow. One of those finished of the remaining Haciendas left after the first round.;After the first round of land reforms, two more were to follow. One of those finished of the remaining Haciendas left after the first round.;After the first round of land reforms, two more were to follow. One of those finished of the remaining Haciendas left after the first round.;;;X
ACTIONNAME602011A;We need land reform, redistribute the land;We need land reform, redistribute the land;We need land reform, redistribute the land;We need land reform, redistribute the land;Das Land muss neu verteilt werden;We need land reform, redistribute the land;We need land reform, redistribute the land;We need land reform, redistribute the land;;;X
ACTIONNAME602011B;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;Keine Landreform durchfьhren;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;Do not support land reform, let the peasants be;;;X
EVT_602012_NAME;Land reforms: the redistribution of foreign-owned farms;Land reforms: the redistribution of foreign-owned farms;Land reforms: the redistribution of foreign-owned farms;Land reforms: the redistribution of foreign-owned farms;Der auslдndische Grundbesitz;Land reforms: the redistribution of foreign-owned farms;Land reforms: the redistribution of foreign-owned farms;Land reforms: the redistribution of foreign-owned farms;;;X
EVT_602012_DESC;In the second round of land reform, Cardenбs expropriated the land held by foreign (mainly American) investors. This enraged conservative circles in the United States and added power to the oil industry lobbys proposal to invade Mexico. The Roosevelt administration, having had close ties with Cardenбs, refused to consider this and instead only demanded compensation.;In the second round of land reform, Cardenбs expropriated the land held by foreign (mainly American) investors. This enraged conservative circles in the United States and added power to the oil industry lobbys proposal to invade Mexico. The Roosevelt administration, having had close ties with Cardenбs, refused to consider this and instead only demanded compensation.;In the second round of land reform, Cardenбs expropriated the land held by foreign (mainly American) investors. This enraged conservative circles in the United States and added power to the oil industry lobbys proposal to invade Mexico. The Roosevelt administration, having had close ties with Cardenбs, refused to consider this and instead only demanded compensation.;In the second round of land reform, Cardenбs expropriated the land held by foreign (mainly American) investors. This enraged conservative circles in the United States and added power to the oil industry lobbys proposal to invade Mexico. The Roosevelt administration, having had close ties with Cardenбs, refused to consider this and instead only demanded compensation.;In der zweiten Runde der Landreform enteignete Cardenas die auslдndischen Grundbesitzer, ьberwiegend US Amerikaner. Dies stiess in konservativen Kreisen in den USA keineswegs auf Gegenliebe und stдrkte die Цl Lobby, die eine Besetzung Mexikos forderte, um ihre Besitzansprьche zu verteidigen. Die Rooseveltregierung lehnte diese Forderung aufgrund ihrer guten Beziehungen mit Cardenas aber ab und begnьgte sich damit, eine angemessen Entschдdigung zu fordern.;In the second round of land reform, Cardenбs expropriated the land held by foreign (mainly American) investors. This enraged conservative circles in the United States and added power to the oil industry lobbys proposal to invade Mexico. The Roosevelt administration, having had close ties with Cardenбs, refused to consider this and instead only demanded compensation.;In the second round of land reform, Cardenбs expropriated the land held by foreign (mainly American) investors. This enraged conservative circles in the United States and added power to the oil industry lobbys proposal to invade Mexico. The Roosevelt administration, having had close ties with Cardenбs, refused to consider this and instead only demanded compensation.;In the second round of land reform, Cardenбs expropriated the land held by foreign (mainly American) investors. This enraged conservative circles in the United States and added power to the oil industry lobbys proposal to invade Mexico. The Roosevelt administration, having had close ties with Cardenбs, refused to consider this and instead only demanded compensation.;;;X
ACTIONNAME602012A;Mexico belongs to Mexicans, disown the Gringos;Mexico belongs to Mexicans, disown the Gringos;Mexico belongs to Mexicans, disown the Gringos;Mexico belongs to Mexicans, disown the Gringos;Mexiko den Mexikanern, raus mit den Gringos;Mexico belongs to Mexicans, disown the Gringos;Mexico belongs to Mexicans, disown the Gringos;Mexico belongs to Mexicans, disown the Gringos;;;X
ACTIONNAME602012B;Don't anger the Gringos, let them keep their land;Don't anger the Gringos, let them keep their land;Don't anger the Gringos, let them keep their land;Don't anger the Gringos, let them keep their land;Die Gringos kцnnen ihr Land behalten, wir wollen keinen Дrger;Don't anger the Gringos, let them keep their land;Don't anger the Gringos, let them keep their land;Don't anger the Gringos, let them keep their land;;;X
EVT_4900006_NAME;Aviation modernization;Aviation modernization;Aviation modernization;Aviation modernization;Die Modernisierung der Luftwaffe;Aviation modernization;Aviation modernization;Aviation modernization;;;X
ACTIONNAME4900006A;Yes, we need a better air force;Yes, we need a better air force;Yes, we need a better air force;Yes, we need a better air force;Wir benцtigen eine bessere Luftwaffe;Yes, we need a better air force;Yes, we need a better air force;Yes, we need a better air force;;;X
ACTIONNAME4900006B;We must invest in infrastructure, not in war;We must invest in infrastructure, not in war;We must invest in infrastructure, not in war;We must invest in infrastructure, not in war;Infrastruktur ist wichtiger als Kriegsgerдt;We must invest in infrastructure, not in war;We must invest in infrastructure, not in war;We must invest in infrastructure, not in war;;;X
ACTIONNAME4900006C;We can't afford it;We can't afford it;We can't afford it;We can't afford it;Das kцnnen wir uns nicht leisten;We can't afford it;We can't afford it;We can't afford it;;;X
EVT_4900007_NAME;Ministery of Aeronautics;Ministery of Aeronautics;Ministery of Aeronautics;Ministery of Aeronautics;Das Ministerium fьr Luftfahrt;Ministery of Aeronautics;Ministery of Aeronautics;Ministery of Aeronautics;;;X
ACTIONNAME4900007A;Yes, we need a better air force;Yes, we need a better air force;Yes, we need a better air force;Yes, we need a better air force;Wir brauchen das Luftfahrtministerium;Yes, we need a better air force;Yes, we need a better air force;Yes, we need a better air force;;;X
ACTIONNAME4900007B;We can't afford it;We can't afford it;We can't afford it;We can't afford it;Das kцnnen wir uns nicht leisten;We can't afford it;We can't afford it;We can't afford it;;;X
EVT_7400015_NAME;Four-years Plan;Four-years Plan;Four-years Plan;Four-years Plan;Der 4-Jahres Plan;Four-years Plan;Four-years Plan;Four-years Plan;;;X
EVT_7400015_DESC;In 1936 an increased demand for grain enabled the Polish economy to fully recover from the Great Crisis. However the unemployment was still rising and government was forced to seek new solutions. In June 1936 Eugeniusz Kwiatkowski, the minister of economy, prepared a plan of government investments for the next four years. According to this plan hundreds of thousands of people were to be hired for construction of heavy industry and infrastructure improvements. Until 1940 more than 1.800.000.000 zlotys (almost 350.000.000 1939 dollars) were spent for that purpose.;In 1936 an increased demand for grain enabled the Polish economy to fully recover from the Great Crisis. However the unemployment was still rising and government was forced to seek new solutions. In June 1936 Eugeniusz Kwiatkowski, the minister of economy, prepared a plan of government investments for the next four years. According to this plan hundreds of thousands of people were to be hired for construction of heavy industry and infrastructure improvements. Until 1940 more than 1.800.000.000 zlotys (almost 350.000.000 1939 dollars) were spent for that purpose.;In 1936 an increased demand for grain enabled the Polish economy to fully recover from the Great Crisis. However the unemployment was still rising and government was forced to seek new solutions. In June 1936 Eugeniusz Kwiatkowski, the minister of economy, prepared a plan of government investments for the next four years. According to this plan hundreds of thousands of people were to be hired for construction of heavy industry and infrastructure improvements. Until 1940 more than 1.800.000.000 zlotys (almost 350.000.000 1939 dollars) were spent for that purpose.;In 1936 an increased demand for grain enabled the Polish economy to fully recover from the Great Crisis. However the unemployment was still rising and government was forced to seek new solutions. In June 1936 Eugeniusz Kwiatkowski, the minister of economy, prepared a plan of government investments for the next four years. According to this plan hundreds of thousands of people were to be hired for construction of heavy industry and infrastructure improvements. Until 1940 more than 1.800.000.000 zlotys (almost 350.000.000 1939 dollars) were spent for that purpose.;Aufgrund eines erhцhten Bedarfs an Getreide konnte sich die polnische Wirtschaft im Laufe des Jahres 1936 von der grossen Depression erholen. Trotzdem stieg die Arbeitslosigkeit weiter an und zwang die Regierung, nach anderen Wegen Ausschau zu halten. Im Juni 1936 stellte der Wirtschaftsminister, Eugeniusz Kwiatkowski, ein Programm staatlicher Investitionen vor. Dieses Programm sah die Schaffung hundertausender Arbeitsplдtze durch den massiven Ausbau von Schwerindustrie und Infrastruktur vor. Bis zum Kriegsausbruch wurden so insgesamt von der polnischen Regierung 1,8 Milliarden Zloty ( damals ca. 350 Millionen US Dollar ) bereitgestellt.;In 1936 an increased demand for grain enabled the Polish economy to fully recover from the Great Crisis. However the unemployment was still rising and government was forced to seek new solutions. In June 1936 Eugeniusz Kwiatkowski, the minister of economy, prepared a plan of government investments for the next four years. According to this plan hundreds of thousands of people were to be hired for construction of heavy industry and infrastructure improvements. Until 1940 more than 1.800.000.000 zlotys (almost 350.000.000 1939 dollars) were spent for that purpose.;In 1936 an increased demand for grain enabled the Polish economy to fully recover from the Great Crisis. However the unemployment was still rising and government was forced to seek new solutions. In June 1936 Eugeniusz Kwiatkowski, the minister of economy, prepared a plan of government investments for the next four years. According to this plan hundreds of thousands of people were to be hired for construction of heavy industry and infrastructure improvements. Until 1940 more than 1.800.000.000 zlotys (almost 350.000.000 1939 dollars) were spent for that purpose.;In 1936 an increased demand for grain enabled the Polish economy to fully recover from the Great Crisis. However the unemployment was still rising and government was forced to seek new solutions. In June 1936 Eugeniusz Kwiatkowski, the minister of economy, prepared a plan of government investments for the next four years. According to this plan hundreds of thousands of people were to be hired for construction of heavy industry and infrastructure improvements. Until 1940 more than 1.800.000.000 zlotys (almost 350.000.000 1939 dollars) were spent for that purpose.;;;X
ACTIONNAME7400015A;Pass the plan;Pass the plan;Pass the plan;Pass the plan;Wir verabschieden das Programm;Pass the plan;Pass the plan;Pass the plan;;;X
ACTIONNAME7400015B;No way!;No way!;No way!;No way!;Das kцnnen wir uns nicht leisten;No way!;No way!;No way!;;;X
EVT_7400016_NAME;Centralny Okreg Przemyslowy;Centralny Okreg Przemyslowy;Centralny Okreg Przemyslowy;Centralny Okreg Przemyslowy;Centralny Okreg Przemyslowy;Centralny Okreg Przemyslowy;Centralny Okreg Przemyslowy;Centralny Okreg Przemyslowy;;;X
